idx,chapter,question,answer
99,5,What is AVMs?,"One of the most common blood-vessel abnormalities, arteriovenous malformations or AVMs, are formed from brain arteries and veins. Brain bleeding from AVMs is generally not as severe as the more common type of brain hemorrhage from a broken artery."
100,10,what is the  related between stroke and another diseases ?,"Many of the risks for stroke are linked together one condition aggravates or causes another, like dominoes in your vascular system
High blood pressure puts more wear and tear on blood vessels and seems to worsen atherosclerosis, probably because the plaque formation has something to do with the healing process that occurs when the lining of an artery is injured
Atherosclerosis is further aggravated by diabetes
High blood glucose levels seem to lead to injuries in the blood vessels
Diabetes also injures the heart muscles, resulting in more sources of clots to break loose and injure the brain."
101,10,could you tell me about risk factors of stroke ?,"Family history
Age
Gender
Race
Previous stroke
Hypertension
High blood lipids and cholesterol
Heart and vascular disease
Smoking tobacco
Diabetes
Obesity
Oral contraceptives and estrogen replacement
Drug and alcohol abuse"
102,10,how can I classify risk factors of stroke ?,"Some risks factors you can’t control
Other risks are treatable or preventable."
103,10,could you help me define what is the hypertension ?,"High blood pressure, the most important factor determining the likelihood that you will have a stroke"
104,10,what is overvier of smoking tobacco in real world ?,"Smoking is the biggest preventable cause of death in the United States
In the U.S., roughly 440,000 people die each year from smoking-related illnesses
Treating the effects of smoking puts a chokehold on our nation’s health costs we’re talking in the range of $70 billion per year
And yet each day nearly 4,000 young people under the age of 18 light up for the first time, according to some esti- mates."
105,10,what is the  related between stroke and blood diseases ?,"These substances cause blood vessels to constrict (there goes your blood pressure!), 
reduce oxygen (forcing the heart to work harder), scrape the inside of the blood vessels (forming plaques), and make blood “stickier” 
(leading to more vessel damage and paving the way for atherosclerosis and clots)."
106,10,what is the risk of smoker having stroke ?,"The risk of having a stroke is about 30 percent
more than a nonsmoker who doesn’t inhale someone else’s smoke."
107,10,how can I plan of action to stop smoking ?,"The plan of action to reduce stroke risk caused by smoking is: Stop! There are programs to help you stop smoking
There are approved drugs to help you get over your dependence on nicotine
If you smoke, then chances are very good that you’ve tried to stop
The pain of stopping is immediate and the benefits seem a little vague when you are in withdrawal
You need to find what is motivating you to smoke and tackle that."
108,10,what kind of approaches to stopping smoking ?,"There are quite a few approaches to stopping smoking, including structured programs that offer various tools for quitting, 
including medication, psycho logical support, group support, and behavior-modification techniques."
109,10,what is benefits if I stop smoking ?,"The benefits of breathing better, not coughing as much, and not getting as many infections are always immediate and increase your health and well-being."
110,10,what is related between stroke and heart vascular diseases ?,"Several heart diseases are connected to stroke because heart disease produces conditions that increase blood clotting, which results in stroke.
Treatment almost always includes some medication to slow blood clotting."
111,10,what is the risk for stroke if I have mechanical value ?,"If you have a mechanical (artificial) valve, your risk for stroke is significantly increased
If you do have a stroke, it is critical to communicate and coordinate your care between your heart specialist (cardiologist) and your stroke specialist
First, because you are undoubtedly on an anticlotting medication possibly warfarin
But it may be at a different dosage than required for your stroke condition
Your clotting control will have to be reevaluated after the stroke, and your medication may need adjustment
Additionally, the valve itself must be checked."
112,10,what is drugs to preventing blood clot ?,"Aspirin
Warfarin"
113,10,what is disease if I have several symptoms such as bleeding in the stomach or intestines ?,"If your blood is too thin and doesn’t clot well, you could be at high risk for brain bleeding — red stroke."
114,10,what is advantages and disadvantages of warfarin ?,"Warfarin, also known as Coumadin, prevents clots by depriving the body of vitamin K, a substance in green leafy vegetables that helps blood clot.
But taking too much warfarin can cause widespread severe bleeding. 
It is critical to monitor the dosage of warfarin carefully in order not to shift the balance from preventing the risk of white stroke to increasing the risk of red stroke."
115,10,how blood test is measured and what is it meaning ?,"The blood test that measures the time it takes for your blood to clot is called the prothrombin time or protime (PT)
PT is the key to fitting your dose of warfarin to your needs
The results of the PT test are given as a ratio, which can be thought of as the relative time it takes the blood to clot
The technical term for the ratio is the International Normalized Ratio (INR)
If the INR is three, then it takes, roughly, three times as long as normal for your blood to clot
If the INR is 1.5, then bleeding from a cut that normally would stop on its own in five minutes would take 7 or 8 minutes to stop."
116,10,what should I do if I was diagnosis have a stroke ?,"You should be proactive in supporting a positive treatment experience
Here are some steps you can take to help your doctor achieve the optimal prescription for you: 
Take your medicine the same time every day and eat similar meals to the extent possible
The best time to take warfarin is before dinner
Consider how often and how consistently you eat leafy green vegetables
They are good for you, but they provide a lot of vitamin K, which counter- acts the effect of warfarin
Eating a lot of leafy greens one day, then none for the next few days can make it hard to get consistent INR readings
Adhere to your dosage instructions
The usual dose of warfarin is between 2 and 5 milligrams once per day
Making a commitment to taking the drug requires diligence on your part
If you forget to take your meds or the right dosage, then warfarin is not for you
Better to take aspirin, which doesn’t need to be monitored so carefully
Watch for signs of bleeding (check your gums after brushing your teeth) and bruising
Be sure to make your appointments for checking the PT time to keep your blood from getting “too thin.” If you need a dosage adjustment, better to make it sooner rather than later."
117,10,could you tell me about heart failure ?,"Every time a healthy heart beats, it squeezes out about 55 percent of the blood in the largest chamber of the heart (the left ventri- cle)
If you have heart failure, your heart only manages to get out 40 percent or less
When this happens, fluid can build up around the ankles and in the lungs, making it more difficult for you to walk and to breathe
Other symptoms you might have are coughing, waking up at night short of breath, and chronic fatigue."
118,10,what is the diabetes ?,"In a nutshell, diabetes is a condition in which the body does not produce or use insulin properly. "
119,10,what does diabetes have to do with stroke ?,"Diabetes makes blood vessels more prone to injury
It is as if diabetic arteries do not endure the wear and tear of life as well as nondiabetic arteries
The effects of major risk factors for stroke atherosclerosis and high blood pressure are increased in diabetics"
120,10,how to calculate the amount of weight I gain ?,The amount of weight you gain is equal to the difference between the amount of energy you consume and the amount of energy you expend.
121,10,how should I do to lose my weight ?,"You lose weight by a combination of two strategies: First, you exercise more to build muscle mass and burn energy from fat reserves
The greater muscle mass is always burning glucose, even when you are resting
Just like your brain
Second, you consume less energy
Energy is measured in calories
Calories come from food"
122,10,how can I diagnosis whether or not I have had a stroke ?,"Blood-pressure tracking
EKG reading
Cholesterol level
Diabetes testing
Other tests
Ultrasound for atherosclerosis
Chest X-ray
CT or MRI scan"
123,10,could you tell me about diagnosis methods for stroke ?,"Blood-pressure tracking
EKG reading
Cholesterol level
Diabetes testing
Other tests
Ultrasound for atherosclerosis
Chest X-ray
CT or MRI scan"
124,11,what does a stroke feel like ?,"The word stroke means a sudden or swift action  a golf stroke, a stroke of luck, the stroke of a pen
Stroke, the disease, is also sudden and requires a swift response
When you have a stroke, you suffer a sudden loss of part of your brain function
You’re normal one moment and suddenly very different only a minute or two later
Usually there is no pain associated with a stroke
Now, that’s not true 100 percent of the time
Sharp neck pain or very severe headache may be present with a few strokes
But specific symptoms indicate that something is sud- denly and clearly amiss with the brain
The key concepts bound together by the word stroke are"
125,11,what if I am incapacitated ?,"If you experience loss of feeling or paralysis or cannot speak or find yourself in a state of confusion, you may not be able to seek help. 
You may have to rely on family members, friends, or even strangers to call for emergency help."
126,11,what to do if someone is having a stroke ?,"When someone is having a stroke, you will notice some peculiar behavior immediately: The mouth may droop on one side of the face, as if the face is slack on that side. 
This droop is often accompanied by slurred speech. 
Talking becomes a struggle — often the sufferer can only get out a word or two and then becomes mute."
127,11,what happens to my heart/brain/blood after a stroke  ?,"With stroke, the heart is not affected and continues beating. Partial blood flow continues, and the brain can survive longer — but every minute still counts."
128,11,what level of emergency for stroke ?,"Stroke is a major emergency. 
It’s the brain! 
Because the stroke patient may not be in a position to speak up, it may be up to the family member or friend to make sure the individual is given the attention he or she needs."
129,11,what is the “golder hour” of stroke victim ?,"For the stroke victim, the race against time continues in the emergency department
The next hour is called the “golden hour” because during that time the opportunity is greatest to prevent or limit permanent damage
Don’t expect the doctors to stop and spend 20 minutes talking to the family
This is not the time
Brain is dying and the stroke response team must focus every minute on determining the cause of the stroke to treat as quickly as possible."
130,11,how many main types of stroke ?,"Acute ischemic stroke
Transient ischemic stroke
Intracerebral hemorrhage
Subarachnoid hemorrhage"
131,11,how many types of white stroke and treating it ?,"There are two types of white strokes (the blood-clotting kind): the acute ischemic stroke and the transient ischemic stroke.
With the first kind, the doctors want to re-open the plugged vessel by dissolving the blood clot and restoring blood flow quickly before the brain is permanently injured."
132,11,how can the doctor treats white strokes ?,"The treatment that does that job is tissue plasminogen activator, better known as TPA the only FDA-approved treatment for white strokes."
133,11,who can benefit from TPA to treat white stroke ?,"The stroke causes significant disability and is not considered a minor stroke
The stroke is not rapidly improving
The symptoms of stroke should not be suggestive of bleeding from a ruptured aneurysm (SAH stroke)
The stroke onset is less than three hours before beginning treatment
No major head injury or prior stroke in previous three months
No heart attack in previous three months
No bleeding from the stomach, bowels, kidneys, or bladder in the previ- ous 21 days
No major surgery in previous 14 days
No history of previous intracranial hemorrhage
Blood pressure not elevated (systolic should be less than 185, diastolic less than 110)
No evidence of active bleeding or recent injury causing a fracture
The blood should clot normally
Blood glucose concentration must not be excessively elevated."
134,11,what severe of red strokes ?,Severe of red stroke stops the patient from breathing and requires that tough decisions be made.
135,11,How should the doctor do for treating red stroke ?,"The goal of treatment is to stop the bleeding as soon as possible. 
Unfortunately, very little can be done other than lowering excessively high blood pressure, which has to be performed very carefully. 
Actions can be taken to help reduce brain swelling if that is a problem. 
A neurosurgeon may be called to evaluate the patient. 
Sometimes the blood inside the brain can be removed, and the patient does well, but the general rule is that surgery doesn’t make that much difference. 
You have to trust the surgeon’s judgment on this tough decision."
136,12,how could I do  for reducing the risk of another white stroke ?,"Four critical steps can help prevent a second white stroke:
Take a drug to slow down your blood clotting.
Have carotid endarterectomy to check for blockage.
Learn the signs and symptoms of stroke so you can get to the emergency department faster in the future.
Control your high blood pressure better, get your cholesterol down, stop smoking, and control diabetes."
137,12,why I need to check my heart when I have a white stroke ?,"If you’ve had a white (ischemic) stroke (or a red intracerebral stroke, for that matter), you don’t just have high risk of another stroke. 
You also have high risk of heart disease. 
An exam by a cardiologist during your hospital stay is critical in determining the status of your heart and blood vessels. 
An electrocardiogram (EKG) is an easy and virtually pain-free test. 
The suction cups some doctors still use on your chest wall may leave bruises, but besides that, the test is just another small event in the complex day of the recovering stroke patient."
138,12,what are prevention high blood presure ?,"High blood pressure is the most common cause of intracerebral (ICH) red strokes those that bleed within the brain. 
If you are over 50 or 55 and have high blood pressure, the cause of your stroke is usually just that. 
If you are especially young and do not have high blood pressure or another reason that explains your red stroke, then further tests may be conducted.
A cerebral angiogram is a likely procedure to be scheduled. 
MRI scans might pick up the presence of arteriovenous malformations (AVMs) and some other abnormali- ties of blood vessels."
139,12,how to avoiding further red strokes ?,"You prevent the recurrence of bleeding from brain aneurysms by either clip- ping them off from outside through the skull (a big deal) or by coiling them off from the inside (still a big deal, but perhaps a little safer). 
Before such surgery, doctors are likely to run a series of MRI studies and an angiogram to accurately locate the aneurysm. 
Sometimes it’s hard to tell which aneurysm actually did the bleeding when two or more are found."
140,12,what is brain swelling ?,"Brain swelling is a very serious complication of stroke and can occur for a number of reasons. 
If you have a white stroke, the brain area injured by a lack of blood will begin to swell. 
In red stroke, the brain swells because of the extra blood from the bleeding. 
In addition, the blood can block the flow of fluid in the ventricles and the backed-up fluid expands the brain. 
Finally, any blood inside the substance of the brain causes inflammation and swelling."
141,12,what is the antiseizure medications ?,"Several medications are available, including ophenytoin (Dilantin) and carbamazepine (Tegretol). 
"
142,12,how risk leg clots are ?,"The blood in your leg veins is moved along slowly toward the heart in part by the gentle squeezing whenever you contract the leg muscles. 
The veins have tough but thin walls that are easily squeezed by muscles. 
They are likewise easily distended by blood seeping into them from the tiny capillaries that connect to arteries."
143,12,what happened when the clots hit the lungs ?,"If the clot is small enough to pass through the right side of the heart without causing damage, its next stop, as it transfers to the outgoing transportation system the arteries is the lungs. 
Small clots block only small bits of lung, and blood flows through alternate pathways."
144,12,how should I do for preventing blood clots in the legs ?,"Obviously, the best thing to do is to keep the clots from forming in the veins in the first place. 
Shifting your position stirs the blood and moves it toward the heart, keeping it from forming blood clots."
145,12,what do I need in hospital after stroke ?,"The hospital staff is there to help you plan for after you leave the hospital. 
They have a lot of experience with stroke patients welcome their input and seek out their advice and knowledge. 
Cooperate with the hospital therapists to develop a post-hospital plan and learn as much as you can about becoming as independent as possible. 
You and your care- taker can start practicing some of what you learn whether it’s tips for getting out of bed into a chair or strategies for bathing. 
"
146,13,how is the life in rehabilitation center ?,"The term rehab may conjure up images of celebrities escaping to luxurious private facilities where they lounge around landscaped grounds, wear designer robes, and dine on gourmet fare prepared by famous chefs. 
In truth, a rehabilitation center is not a place where the stroke survivor is pampered and waited on hand and foot. Instead of spa resort, think back-to-school. 
Yes, the rehabilitation center is more of an educational institution offering a crash course in skills that will help the stroke victim regain independence and lead a fuller life."
147,13,who should gop to rehab ?,"The answer depends on many different factors: doctor recommendation, severity of stroke and the damage incurred, level of care that can be provided in the home, and, no less important, the attitude and openness of the stroke patient and the family toward the rehab experience."
148,13,how much rehabilitation is needed ?,"Most stroke patients who go into a rehab center stay for weeks not months. 
Though many have told me later that they wished they could have stayed longer. 
But each stroke patient is unique and, consequently, will follow different programs with different time requirements."
149,13,why can’t I have rehab in my own home ?,"Of course, with unlimited resources, you can turn your home into a rehabilitation center and have the appropriate specialists come to you. 
However, this turns out to be very difficult. 
Scheduling difficulties, space limitations, and lack of equipment may be a few challenges. 
Even more critical, you’d miss out on the interaction with other patients and families in the same predicament."
150,5,Could you tell me about red stroke,"red strokes are caused by bleeding of the brain arteries
The two types of red stroke are differentiated by
where the bleeding starts. One type involves bleeding in the areas surrounding the brain, called subarachnoid hemorrhage or aneurysm"
151,5,what are symtoms that  are caused by Brain hemorrhage,"symptoms as a white stroke. This includes
paralysis of the face, arm, or leg on one side of the body, difficulty speaking
or understanding speech, loss of sensation on part of one side of the body,
dizziness, and clumsiness in the use of the arms or legs"
152,5,What is the severity of cerebral hemorrhage,"Brain hemorrhages are more often fatal and cause more severe disability than
the more common white ischemic stroke. The chances of someone dying in
the first few days after a brain hemorrhage (ICH) are about 40 percent —
double the rate for white strokes, which is about 20 percent"
153,5,what age is most susceptible to brain hemorrhage,"Victims of brain hemorrhage are typically between 55 and 60 years old —
younger than those who suffer from white strokes"
154,5,What percentage is the number of people with cerebral hemorrhage," brain hemorrhage is a less common type of stroke, striking approximately 15 percent of all stroke sufferers. This equates to an estimated 70,000 individuals
each year in the United States"
155,5,Can you tell me about the reason for the brain Bleeding,"High blood pressure — particularly longstanding high blood pressure — is
the leading cause of brain hemorrhages, being responsible for nearly half.
Still, that leaves many other possible causes.brain hemorrhage may be the result of anything from abnormal blood
vessels to a bladder infection"
156,5,When white stroke leads to red stroke,"What starts out as a white stroke caused by a blood clot blocking an artery
can turn into a red stroke with bleeding into the brain"
157,5,What medications are used to dissolve blood clots,"Heparin
is mostly used in the hospital since it must be dripped into a vein. Warfarin
(also called Coumadin) is taken when you are not in the hospital"
158,5,Could you tell me Who is at risk for a brain hemorrhage,"brain hemorrhage claims a lot more causes than white stroke
does. Here are several others that doctors may test for
+Aging of blood vessels
+Cocaine and stimulant drugs
+Blood-clotting deficiencies
+Extremely high blood pressure
+Red strokes due to subarachnoid bleeding
+Head trauma"
159,5,"Can you tell me about treating brain hemorrhage
in the hospital
","Treating bleeding inside the brain is difficult. The bleeding is tightly enclosed
in the skull where broken blood vessels can’t easily be reached. Even if a surgeon cuts through the skull, the source of the bleeding is usually farther
inside the brain itself. Eventually the bleeding stops on its own — by clot formation and increasing pressure inside the skull. But doctors must deal with
the effects of the bleeding, including brain swelling and unconsciousness and
other conditions that may slow the clotting process"
160,5,How to treat the brain hemorrhage that was caused by an infection in the bloodstream,"If a brain hemorrhage was caused by an infection in the bloodstream, then it
is likely that massive amounts of antibiotics will be administered along with
treatments for brain swelling and unconsciousness. If the brain recovers well,
the treatment of the blood infection can takes weeks or even months to complete. If a heart valve or implanted device becomes infected, surgery may be
required, though it usually can be postponed until after stroke recovery"
161,5,How to prevent the red stroke,"Someone lucky enough to get out of the hospital after a brain hemorrhage
needs to take action to prevent more strokes. A red stroke puts you at
increased risk of white strokes. Here are some preventative measures
+Treat your blood pressure
+Monitor your warfarin
+Manage blood lipids, diabetes, and heart disease:"
162,6,what is the SAH stroke,"SAH stroke is subarachnoid hemorrhage
this form of red stroke — involving bleeding outside the
brain — is the least common of the four major types of stroke, afflicting just
3 percent of all stroke sufferers
SAH strokes are most common in adults between 55 and 60 — a bit
younger than the average stroke victim"
163,6,How SAH Strokes Happen,SHA stroke happen when  aneurysm in the brain
164,6,what is the warning signs from enlarging aneurysms,"Evidence indicates that aneurysms start out small and enlarge over time.
Depending on where they are, aneurysms may reveal their presence — before
they burst — through a variety of warning signs
+Face and eye pain
+Large pupil in one eye
+Headaches
+Neck pain and stiffness that come on suddenly
+Sudden pain between the shoulder blades"
165,6,When brain aneurysms rupture,"we have our well-packaged brain floating in a layer of protective fluid, and
within that shock-absorbing padding, we have arteries threading in from the
base of the skull and into the brain. Arteries sometimes develop aneurysms —
those stretched-out sections — from weak spots. These spots sometimes leak
and seal themselves off, causing uncomfortable side effects such as a severe
headache, unequal pupil size, and other pains"
166,6,What is the consequence of bleeding into the subarachnoid ,"Bleeding into the subarachnoid space can slow the normal blood flow to the brain. This is because the pressure inside the subarachnoid space is usually lower than the blood pressure in arteries. When blood leaks into the subarachnoid space, its pressure goes up, squeezing the brain, making it harder to pump blood into the brain, and the result is the blood does not flow in fast enough to meet the needs of the brain. This is why some people drop to the ground unconscious when their red subarachnoid stroke first happens."
167,6,what are symptoms of aneurysm bursts in the subarachnoid space,"Here are a few of the common symptoms
+A pop: A few patients report hearing or feeling a pop inside their head
when an aneurysm ruptures
+ Unconsciousness: Right after the rupture, about half of the patients
become unconscious and remain so for more than an hour. Many are
unconscious for less time. Some patients do not regain consciousness
for several days. Some die before they awaken.
+Headache
+Brain injury"
168,6,Does sah affect the heart?,"SAH sometimes causes heart problems. The heart is controlled by areas deep
in the base of the brain, where most aneurysms are found. Perhaps the blood
injures the brain’s control mechanism for the heart. One of the heart problems that may develop is abnormal rhythm. The heart skips beats or contracts in a frantic, disorganized rhythm that pumps no blood. This can be
fatal. Evidence of injury to the heart resembling a heart attack is also found
in some people with subarachnoid hemorrhage"
169,6,what happen after an sah stroke,"You have a 25-percent chance of having a seizure in the first 24 hours after a subarachnoid hemorrhage. Most seizures occur immediately after the bleeding starts. Brain seizures are thought to be caused by the blood irritating the surface of the brain. When blood escapes from blood vessels, it provokes an intense response to the organs and internal mechanisms it contacts. Seizures result in the case of contact with the brain; spasms occur when the blood contacts the outside of the brain arteries"
170,6,What are the consequences of spasm of brain arteries,"Spasm of brain arteries is the major cause of brain injury and death after you
make it to the hospital. This spasm occurs in about 30 to 40 percent of SAH
patients. It starts to occur between 3 and 21 days after the stroke, usually
between days 4 and 14"
171,6,How to treat the SAH stroke,"So far, no treatments are available for help in the first few minutes after the aneurysm bursts. This type of
stroke gets people’s attention, and most victims are taken to the emergency
room immediately by ambulance.
The good news is that, if the patient survives the initial onset, SAH is one of
the most treatable forms of stroke. A stroke team may make the initial evaluation, but when it comes to treating red stroke — especially SAH red stroke —
a neurosurgeon will be called in. This is because some of the most critical
treatments for subarachnoid bleeding involve surgical procedures to the
brain. Other treatments for SAH complications such as brain swelling and
artery spasm may involve drugs"
172,7,How can you tell whether someone is suffering from stroke-caused dementia?,"Here
are some warning signals of brain failure
 +Loss of memory
 +Confusion in complex situations
 +Loss of control of emotions
 +Problems with communication or expressing self
 +Trouble paying attention
 +Difficulty following a conversation
 +Struggling to work finely with hands
 +Disorganization in plans
 +Failure to recognize things seen
 +Straining with calculations
 +Inability to solve problems
 +Loss of interest in activities that were once important

"
173,7,Does the dementia is a gradual process?,"The onset of dementia is often so gradual it’s hard to recognize at first. Dayto-day or even week-to-week changes may go unnoticed. But the changes
month to month and year to year are more apparent, particularly to those
who haven’t seen the afflicted individual in a while"
174,7,What are the hallmark symptom of memory loss?,"after more
injuries, you can’t recall a particular memory at all. What you experience is slower service from your brain, then one day something you think you
should know is suddenly gone altogether. It’s not so much gone as inaccessible"
175,7,What are the effects  of memory loss after a stroke,"The dementia caused by several strokes is likely to have a pronounced effect
on movement and language — more so than Alzheimer’s disease. Just like the
sudden and dramatic types of stroke that send you to the emergency room,
small strokes cause similar damage only at a less perceptible level. So, in
addition to problems with thinking and memory, a series of small strokes may
leave you with hand weakness or difficulty speaking. You may begin to have
trouble walking or driving. Balancing the checkbook may become a challenge.
Emotions may be harder to control. Because the brain is not receiving all the
information it is used to, the sufferer may become less trusting and more suspicious of others."
176,7,How to diagnose the Stroke-Related Dementia,"If you have a stroke, you call 911 and go to the emergency room because of
the sudden and dramatic signs that define a stroke
Checking in for a check-up.If you have any evidence that your memory and brain power may be failing —
especially if you also suffer from high blood pressure, high cholesterol, or
diabetes — make an appointment for testing"
177,7,How to address risk factors of stroke,"simple blood cholesterol and blood lipid tests (for diabetes) to the battery of other blood tests you’re taking to rule out other cause
And, for atrial
defibrillation, have an ultrasound test of your carotid artery — the artery in
your neck. This test will indicate if the blood is ineffectively pumping to your
brain"
178,7,what are methods to prevent stroke,"Here are true stroke-prevention steps
+Lower your blood pressure
+Fight blood clots with drugs
+Get in shape
+Bring down your cholesterol and lipids
+Get your diabetes under control
+And please don’t tell me you still smoke"
179,8,could you tell me about high blood pressure,"Blood pressure is recorded as two numbers: the highest (systolic) pressure during a heartbeat over the lowest (diastolic) pressure between beats. For instance, your doctor may tell you that your blood pressure is 120 over 80 and write it down as 120/80. (That, by the way, would be good news for you — as this is an average blood pressure reading.) The highest number, the systolic pressure, is given first. If you accidentally reverse it, doctors will smile at you like you said goodbye instead of hello"
180,8,How to check the blood pressure,"It’s simple to determine whether your blood pressure is high. You’re familiar with the little Velcro sleeve the nurse slips on your upper arm. As the nurse presses the rubber pump, the sleeve tightens, and you watch the needle swing up and tick down before it rests at the magic number."
181,8,Who’s at Risk for High Blood Pressure,"High blood pressure isn’t the result of a single cause. Some circumstances you can’t control — your age or your family history, for example. Others may require lifestyle changes or medical solutions. In any event, you’ll benefit by knowing the range of conditions that may lead to high blood pressure"
182,8,What other factors cause high blood pressure?,"Problems with your kidneys may raise your blood pressure. They play a
major role in controlling your blood pressure by controlling the volume of
blood and the amount of sodium and potassium in the blood. Any disease
of the kidneys may affect blood pressure. It is particularly critical if you are
young and have especially high blood pressure to check out your kidneys"
183,8,"Does the drugs that may lead to high
blood pressure ?","Many medications contain chemicals that can raise blood pressure. Here a few of the most common offenders:
 +High doses of aspirin and similar drugs
 +Decongestants
 +Diet aids
 +Steroids
"
184,8,What are the benefits of treating blood pressure?," For people who have never
had a stroke, treating blood pressure cuts the risk of stroke nearly in half. In
older patients, treating people with systolic high blood pressure reduces
the chances of dementia  by half. If you’ve had a stroke, the
chances you will have a second one are reduced by 30 percent if you treat
your high blood pressure"
185,8,How to prevent the high blood pressure,"If you’re overweight, consume an unhealthy menu of high-sodium and highfat foods, and you avoid regular exercise, you may be able to lower your blood pressure by making some positive lifestyle changes. Even if you are
recovering from a stroke, you can follow these recommendations:
 +Exercise enough to make you breathe faster.
 +Get your weight under control.
 +Eat more fruits high in potassium (such as cantaloupe, bananas, apricots, and oranges).
 +Restrict your sodium intake by cutting back on table salt.
 +Consume low-fat dairy products to increase your calcium.
 +Enjoy alcohol up to one or two drinks per day but avoid more.
 +Avoid cold tablets and diet drugs that have warnings about high blood
pressure.
"
186,8,what are the drugs for  lowering blood pressure,"Most doctors will start treating high blood pressure with one of two inexpensive and effective drugs that have very few side effects and are well-tolerated
by most people with high blood pressure. These drugs are the diuretics and
beta blockers. But there are dozens of alternatives."
187,8,Does the sleep apnea is a sign of high blood pressure,"Patients with sleep apnea often have high blood
pressure. It’s not known whether treatment will
reduce blood pressure"
188,9,"
What is the effect of obesity on stroke?","Researchers continue to explore the relationship between fat and atherosclerosis, heart disease, and stroke
Some studies have showed that people who ate more cholesterol had more heart disease"
189,9,What types of fats cause stroke?,"the two major forms of fat we find in the body and in the
food we take into our body
+ Cholesterol
+Triglycerides
"
190,9,"How does fat affect blood vessels?
","These fats and their bodyguard
lipoproteins can irritate the sensitive lining of your blood vessels
Once irritated, the blood vessels can become increasingly
inflamed, scarred, and overlaid with potholes and patches. Eventually, the
atherosclerotic plaque ruptures and blocks the vessel entirely or becomes so
rough that stroke-causing clots form there. Either way, white stroke can
result"
191,9,How do you know you’re at risk for stroke because of high cholesterol,"Not
necessarily from the numbers on your bathroom scale — though if you’re
carrying a spare tire around your waist, that may be a bad sign. But getting a
sense of the shape you’re in is a starting point. Checking your blood for levels
of cholesterol and its components is the next step"
192,9,can you tell me about diet and cholesterol Control to prevent stroke,"Following a diet low in cholesterol and saturated and trans fats is a smart
move"
193,9,What’s the right diet to prevent stroke,"For anyone who wants to control their blood lipids, I recommend one of two
courses: If you’re diabetic, follow a diabetic diet that not only controls the fats
in your diet but also controls the total number of calories, avoiding rapidly
absorbed sugar
If you’re not diabetic, follow the American
Heart Association diet recommendations, which include limiting saturated
and trans fats, substituting low-fat dairy products for their whole-milk counterparts, and eating a greater proportion of calories in fruits, vegetables, and
grains"
194,9,What is the notice of Atkins diet,"I hesitate to mention the Atkins diet — you know: low-carb and lots of animal proteins. 
If you’re on this bandwagon, I recommend that you test your blood cholesterol levels frequently. 
I also suggest discussing this with your doctor"
195,9,How statins work ,"Statins stop your liver from making cholesterol. They don’t stop you from
eating cholesterol, though. Diet and taking statins have to work together to
some extent. "
196,9,What are common statin drugs ,"Commercial Name - Generic Name
Lipitor - Atorvastatin
Zocor - Simvastatin
Pravachol - Pravastatin
Lescol - Fluvastatin
Mevacor - Lovastatin"
197,9,What are drugs that I should not use while having muscle injury,"The problem is worsened by the following drugs: gemfibrozil (Lopid), erythromycin, drugs to kill
fungus infections, and nefazodone (Serzone), an antidepressant."
198,9,How worse the muscle injury can be ,"if the pain gets worse and the muscles become tender, the muscle cells can start to die."
199,9,Does all reduce cholesterol drugs can be used for liver damage,"Other drugs that reduce cholesterol can make liver problems worse. One of
 these drugs is gemfibrozil (Lopid). 
In high doses, the B vitamin niacin does a
 pretty good job of lowering cholesterol, but beware adding it to statins."
